commune;pop
Cercle : Tan Tan;1 340
Cercle : Taounate;133 164
Cercle : Taourirt;27 410
Cercle : Tarfaya;3 796
Cercle : Targuist;50 317
Cercle : Taroudannt;125 967
Cercle : Tata;25 757
Cercle : Taza;84 252
Cercle : T‚mara;35 646
Cercle : T‚touan;96 453
Cercle : Tiflet;69 868
Cercle : Tilal Al Gharb;73 602
Cercle : Tinghir;57 004
Cercle : Tinzouline;82 534
Cercle : Tissa;157 798
Cercle : Tit Mellil;52 635
Cercle : Tiznit;68 084
Cercle : Touama;107 262
Cercle : Zag;6 336
Cercle : Zagora;64 633
Cercle : Zemamra;129 402
Cercle : Zerhoun;42 839
Cercle : Znata;133 616
Cercle : Zoumi;56 824
Chahda;10 370
Chaibate;9 877
Chakrane;4 761
Charf-Mghogha (Arrond.);201 122
Charf-Souani (Arrond.);117 557
Charqaoua;5 526
Charrate;9 754
Chbanate;10 371
Chbika;324
Chefchaouen (Mun.);42 786
Chichaoua (Mun.);27 869
Choara;11 023
Chorfa M'Daghra;14 312
Chouafaa;18 436
Chougrane;6 864
Chouihia;12 245
Chtaiba;9 122
Chtouka;33 170
Dakhla (Mun.);106 277
Daoura;1 108
Dar Bel Amri;28 156
Dar Bni Karrich;8 499
Dar Bouazza (Mun.);151 373
Dar Chaffai;17 454
Dar Chaoui;4 303
Dar El Hamra;4 018
Dar El Kebdani;9 911
Dar Gueddari (Mun.);6 643
Dar Jamaa;5 911
Dar Laaslouji;32 127
Dar Ould Zidouh;31 170
Dar Oum Soltane;8 840
Dar Si Aissa;11 946
Dayat Aoua;9 854
Dcheira;509
Dcheira El Jihadia (Mun.);100 336
Debdou (Mun.);4 960
Demnate (Mun.);29 504
Derdara;11 547
Deroua (Mun.);47 719
Dir El Ksiba;22 855
Dkhissa;19 908
Douirane;16 138
Drƒa-Tafilalet;1 635 008
Drargua;70 793
Driouch (Mun.);14 741
Dzouz;11 501
Echatea El Abied;1 158
Ech-challalate;53 503
Echemmaia (Mun.);24 303
Eddachra;7 522
Eddakhla-Oued Eddahab;142 955
Eddir;7 565
El Aamria;9 454
El Aioun Sidi Mellouk (Mun.);41 832
El Argoub;5 759
El Atef;3 215
El Beddouza;14 084
El Bibane;6 303
El Borj;3 812
El Borouj (Mun.);19 235
El Bsabsa;8 019
El Faid;12 011
El Foqra;3 154
El Gantour;18 544
El Ganzra;13 209
El Gara (Mun.);20 855
El Ghiate;25 162
El Gouraani;11 291
El Gouzate;6 575
El Guerdane (Mun.);12 313
El Hagounia;151
El Hajeb (Mun.);35 282
El Hammam;12 830
El Hanchane (Mun.);4 965
El Jadida (Mun.);194 934
El Kbab;16 157
El Kelaƒ des Sraghna (Mun.);95 224
El Koudia El Beida;21 875
El Ksiba (Mun.);20 001
El Maader El Kabir;6 885
El Maarif (Arrond.);170 689
El Mansouria (Mun.);19 853
El Marbouh;8 774
El Mariniyine (Arrond.);209 494
El Marsa (Mun.);17 917
El Menzeh;11 370
El Menzel (Mun.);12 641
El Mers;5 152
El Orjane;7 740
El Ouatia (Mun.);9 295
El Youssoufia (Arrond.);170 561
Enjil;8 364
En-nzala;4 390
Ermila;7 690
Errachidia (Mun.);92 374
Errafiaya;5 502
Er-rich (Mun.);25 992
Er-rissani;5 010
Errouha;10 523
Er-rteb;13 461
Esbiaat;14 986
Essaouira (Mun.);77 966
Es-semara (Mun.);57 035
Es-sfalat;11 483
Es-sifa;7 035
Et-taous;6 792
Ezzaouite;6 341
Ezzhiliga;15 430
Fam El Hisn (Mun.);6 353
Fask;3 943
Fdalate;11 966
